MovieID,Variance,NAValue,NAValue_norm,Variance_norm,combined
110603,2.529390190229351,0.8497996271103471,0.5136221628125351,1.0,0.708173297687521
179135,1.1181886848219638,0.8935835293081487,0.8172288348062088,0.31167418762285315,0.6150069759328665
127098,1.4448664532551352,0.8630973888901609,0.6058316050110574,0.47101411142587024,0.5519046075769826
116907,0.8698341890413266,0.8842321948932199,0.7523847396501818,0.190537121505301,0.5276456923922295
168712,2.1659463218100883,0.8192574350289247,0.3018362591408935,0.8227270910464602,0.5101925919031203
191351,1.162314049586777,0.8657366974170315,0.624133118535084,0.333196718198251,0.5077585584003508
174053,0.5756654234678484,0.8904968648429481,0.7958252622875462,0.04705374669066495,0.4963166560487937
109189,1.2411365871331712,0.8592314291644719,0.5790242372923133,0.3716430966795349,0.49607178104720195
120138,1.325092409412745,0.85239469228375,0.5316168837340318,0.4125932794514108,0.48400744202098345
125916,1.819349284624332,0.8264985870967724,0.3520479116059343,0.6536713706023932,0.47269729520451786
